Nombre,Valores
Intensidad de color,Numeric
Aromas,Text
Sabores,Text
Frutal,Check
Floral,Check
Herbáceo,Check
Acidez,Numeric
Amargor,Numeric
Alcohol,Numeric
Valoración,Numeric
